Reviewer,Document,Method,Document_Type,Criterion,Criterion_Raw,Description,Score,Comments
Reviewer_1,Scope A,Manual,Scope,Completeness,Πληρότητα / Completeness,"Το έγγραφο καλύπτει επαρκώς τις βασικές επιχειρησιακές ανάγκες, λειτουργίες, απαιτήσεις, περιορισμούς και παραδοχές του έργου.",4,Λεπτομερής περιγραφή της τρέχουσας διαδικασίας - Τα βήματα της χειροκίνητης διαδικασίας είναι σαφή και τεκμηριωμένα
Reviewer_1,Scope A,Manual,Scope,Correctness,Ακρίβεια / Correctness,"Οι πληροφορίες που περιλαμβάνονται στο έγγραφο είναι ορθές, δεν αλλοιώνουν το business context και δεν εισάγουν λανθασμένες ή μη τεκμηριωμένες απαιτήσεις.",5,
Reviewer_1,Scope A,Manual,Scope,Clarity & Unambiguity,Σαφήνεια / Clarity & Unambiguity,"Οι απαιτήσεις και οι περιγραφές είναι σαφείς, κατανοητές και δεν επιτρέπουν πολλαπλές ή αντικρουόμενες ερμηνείες.",4,"Σαφής αναφορά στα συστήματα - Τα συστήματα Unify, Altamira και Treasury αναφέρονται ονοματιστί"
Reviewer_1,Scope A,Manual,Scope,Consistency,Συνέπεια / Consistency,"Το έγγραφο δεν περιέχει εσωτερικές αντιφάσεις, επαναλήψεις ή συγκρουόμενες πληροφορίες μεταξύ ενοτήτων.",4,"Καθορισμένοι στόχοι του έργου - Τα οφέλη (ταχύτητα, μείωση λαθών, εξοικονόμηση εργατοωρών) είναι σαφώς ορισμένα"
Reviewer_1,Scope A,Manual,Scope,Traceability,Ιχνηλασιμότητα / Traceability,"Οι απαιτήσεις και οι ενότητες του εγγράφου μπορούν να συνδεθούν λογικά με επιχειρησιακές ανάγκες, stakeholders ή πηγές πληροφόρησης.",4,
Reviewer_1,Scope A,Manual,Scope,Testability,Επαληθευσιμότητα / Verifiability / Testability,"Οι απαιτήσεις είναι διατυπωμένες με τρόπο που επιτρέπει έλεγχο, επιβεβαίωση, testing ή μετατροπή σε acceptance criteria.",4,
Reviewer_1,Scope A,Manual,Scope,Business Relevance,Επιχειρησιακή συνάφεια / Business Relevance,Το έγγραφο αντανακλά ουσιαστική επιχειρησιακή αξία και υποστηρίζει τη λήψη αποφάσεων στο έργο,5,
Reviewer_1,Scope A,Manual,Scope,Structure & Readability,Δομή και αναγνωσιμότητα / Structure & Readability,"Το έγγραφο είναι οργανωμένο, ευανάγνωστο, ακολουθεί λογική ροή και μπορεί να χρησιμοποιηθεί εύκολα από stakeholders.",4,
Reviewer_1,Scope A,Manual,Scope,Actionability,Λειτουργική χρησιμότητα / Actionability,"Το έγγραφο μπορεί να χρησιμοποιηθεί πρακτικά από BA, PM, development team, QA ή business stakeholders για τα επόμενα βήματα του έργου.",4,Δεν υπάρχει λεπτομερής περιγραφή της ροής στο αρχέιο Scope Definition σε σχέση με το FRS όπου απεικονίζεται με μεγαλύτερη σαφήνεια. Με την χρήση οθωνών (αρχείο FRS) γίνεται μια εκτενής περιγραφή του επιχειρηματικού πλαισίου που καθιστά δύνατη τη σαφή κατανόηση του πεδίου εφαρμογής του έργου από τα ενδιαφερόμενα μέρη και κυρίως από τους developers που καλούνται να υλοποίησουν το έργο.
Reviewer_1,Scope A,Manual,Scope,Required Rework,Ανάγκη επανεπεξεργασίας / Required Rework,Το έγγραφο απαιτεί μικρή ή καθόλου επιπλέον επεξεργασία ώστε να θεωρηθεί έτοιμο για επαγγελματική χρήση.,4,
